date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-01 09:36:56,aphylante,CCastaner,0,0,3,"Contre la volonté des français, en les mutilant. Les seules réponses de ce gouvernement sont la répression, les mensonges et les tentatives désespérées de manipulation. Ce gouvernement c'est pire que le virus ebola. Que 2020 sonne votre fin de règne !",,,,1212306706077761537,https://twitter.com/aphylante/status/1212306706077761537
2020-01-01 09:34:16,AfricatimesNet,,0,0,0,"RDC: BUTEMBO VOIT DE NOUVEAUX CAS D’EBOLA https://africatimes1.net/rdc-butembo-voit-de-nouveaux-cas-debola/",,,,1212306033797926914,https://twitter.com/AfricatimesNet/status/1212306033797926914
2020-01-01 09:28:26,ebola_carambola,enot_pomozgyn,0,0,1,"",,,,1212304566366150656,https://twitter.com/ebola_carambola/status/1212304566366150656
2020-01-01 09:26:30,WrcMrs,Ryan_Champion,0,0,1,"Power Cut? Ebola?",,,,1212304079352926208,https://twitter.com/WrcMrs/status/1212304079352926208
2020-01-01 09:16:19,clubssandwich,,0,0,0,"Ebola kommt zurück und diesmal verlange ich,dass ihr jeden Menschen versucht zu retten..Ich bin so schwarz wie das schwarze meth Loch.. ",,,,1212301516339601408,https://twitter.com/clubssandwich/status/1212301516339601408
2020-01-01 09:12:40,TValdeavilla,,2,0,1,"Mahal na mahal ko tong mga tropa ko! from batang denims, Ka Ebola, Ka Putik, Hanggang sa TD!! SINCE 2***-**** ",,,,1212300597220610051,https://twitter.com/TValdeavilla/status/1212300597220610051
2020-01-01 09:10:20,Ebola_Party,libertylover64,0,0,0,"The favored candidate of the “used to be hot 15 years ago” demographic.",,,,1212300010299244544,https://twitter.com/Ebola_Party/status/1212300010299244544
2020-01-01 09:05:51,CJC_KNIGHTS,,0,0,10,"Hangover stage one “fuck I feel alright, no hangover” is complete and I’m now on hangover stage two also known as “Ebola”",,,,1212298881947643905,https://twitter.com/CJC_KNIGHTS/status/1212298881947643905
2020-01-01 09:00:20,Ebola_Party,Infantry0300,0,0,0,"Look how clean those boots are. Almost like they’ve never been worn outside before...",,,,1212297491938529286,https://twitter.com/Ebola_Party/status/1212297491938529286
2020-01-01 08:55:03,Ebola_Party,realDonaldTrump,0,0,0,"You must be very proud that the boss gave you some recognition lol",,,,1212296165150117888,https://twitter.com/Ebola_Party/status/1212296165150117888
2020-01-01 08:53:26,drraulsamayoap,teleSURtv,0,0,0,"Preocupante como un OUTBRAKE DE EBOLA ",,,,1212295757853794305,https://twitter.com/drraulsamayoap/status/1212295757853794305
